time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.00604592915993,6.87851154369e-12,10.0019258261,1.58115174287e-08,0.868565746568,0.0,-0.338556087103,6.87837036734e-10,-0.0112054203436,7.85163067693e-07,10.8115019969,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.12000000000000001,-0.0326751201929,3.57149370283e-10,9.99745757465,2.59544981063e-08,1.21283917692,0.0,-0.286013887915,6.40804391587e-09,-0.325994906122,-1.08298208596e-06,19.2755942859,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.18,-0.0557057828714,7.79923907979e-10,9.96011596433,6.28318524349,0.628602884181,0.0,-0.220321569357,3.15369874298e-09,-0.856071851218,-2.32421886471e-06,24.3566349178,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.23999999999999996,-0.0847290377972,7.62713239208e-10,9.89813704662,6.28318507356,3.25742668737,0.0,-0.744296621571,2.6684369952e-08,-1.47308781324,-3.7770511564e-06,26.8819021078,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.3,-0.120459727162,6.9299571425e-09,9.7744808214,6.283184879,5.12192088026,0.0,-0.305664634246,1.52019245868e-07,-2.51682124478,-1.95324156132e-06,28.0147002829,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.36000000000000004,-0.1238415806,1.00333801005e-08,9.61910418025,6.28318487926,0.571939603399,0.0,0.0459425689995,-9.42843694613e-08,-2.57001559658,3.91926797935e-06,28.4967304858,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.4200000000000001,-0.136642055251,-8.53120664366e-10,9.45980652811,6.28318529168,2.29344877506,0.0,-0.545916318594,-2.05930175488e-07,-2.89945686689,1.2627086011e-05,28.695556208,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.48000000000000015,-0.179461870556,-1.58342692875e-08,9.25130484066,8.30374403904e-07,4.01839801581,0.0,-0.715837951591,-3.72084791234e-07,-4.09287168666,1.68993432424e-05,28.7789199669,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.5400000000000001,-0.203624429295,-4.33189891621e-08,8.98116622877,1.90221345964e-06,5.74631097889,0.0,-0.0743831937936,-3.47924738556e-07,-4.73797819849,1.989853033e-05,28.8173246843,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.6000000000000002,-0.204001356957,-2.52663766231e-08,8.6975419305,3.0599937384e-06,1.19247970294,0.0,-0.104122286346,1.03189572353e-06,-4.72376363478,1.80919262843e-05,28.8294074779,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.6600000000000003,-0.230253936404,3.6915948981e-08,8.39714624003,4.20940186618e-06,2.92230544036,0.0,-0.726032273028,4.62698185907e-07,-5.45189508156,2.06328017419e-05,28.831924657,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.7200000000000003,-0.271807577699,-1.381663344e-08,8.0345729388,5.44736985653e-06,4.65234152185,0.0,-0.497471188677,-1.9975380765e-06,-6.57999316695,2.06327960484e-05,28.836794817,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.7800000000000004,-0.282726939069,-9.83060257605e-08,7.62803670016,6.68353914257e-06,0.0993248022162,0.0,0.0315693455227,-5.94678026174e-08,-6.85058813194,2.05428721328e-05,28.8351389222,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.8400000000000004,-0.288400639399,2.92574166096e-09,7.21465446318,7.88977927613e-06,1.82950188167,0.0,-0.363227986041,2.83739566695e-06,-7.02263684502,1.92262481335e-05,28.8379560768,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.9000000000000005,-0.325817522556,8.52067279e-08,6.7649053886,9.04414817615e-06,3.55973531179,0.0,-0.752923442612,-7.30240188887e-07,-8.03761754242,1.92659487273e-05,28.8360926363,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
0.9600000000000005,-0.358143861996,-6.37666471814e-08,6.25346559384,1.02133607607e-05,5.28989916022,0.0,-0.219535184143,-2.9530377938e-06,-8.87053327543,1.9889164046e-05,28.8360210771,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
1.0200000000000005,-0.361088624384,-9.90747462326e-08,5.71714576482,1.14067104979e-05,0.736710779373,0.0,-0.0102828096048,2.03367915822e-06,-8.99011891727,1.98891587555e-05,28.8287573726,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
1.0800000000000005,-0.378340409966,9.79950794714e-08,5.16670510775,1.2610421857e-05,2.46642592202,0.0,-0.607447031165,2.63859483499e-06,-9.51928501488,2.02310558624e-05,28.8283251209,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
1.1400000000000006,-0.419549117809,8.37423929508e-08,4.56443948446,1.38227024182e-05,4.19616731205,0.0,-0.637209819941,-3.12528643817e-06,-10.5509964657,2.01519162982e-05,28.8300551543,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
1.2000000000000006,-0.438556305575,-1.05272819116e-07,3.91347009609,1.50354243171e-05,5.92590804014,0.0,-0.0448555673156,-1.06354251181e-06,-11.0008701138,2.12926148807e-05,28.8273845762,0.0,479.3632998904124,481.857963201555,480.67214090844817,482.07664754688176
